--generation dispatch
bus id,unit id,pg(MW),qg(MVar)
121,24,309.5501830023,118.9523008005
123,33,136.0855847057,8.2438202645
207,44,1.2768506247,8.1778411331
322,94,35.8907535397,-0.1634889708
313,78,131.4348329908,-5.6140718073
115,18,0.9207573181,1.2087460943
115,21,45.2718153033,43.9184873695
114,15,0.0000000000,-31.9790372222
323,97,123.5733919595,-10.9841802101
315,82,4.9197462825,2.2252092758
213,45,65.6915959482,20.2969268560
322,93,46.6589690307,4.0364591603
102,7,30.6011785855,-47.8624381172
207,43,25.2434999694,20.3667849030
215,50,3.3520248912,4.2792324614
322,96,63.4010490407,4.7632396604
107,9,30.2868655114,3.2570611906
321,90,390.3721763911,25.4566359265
102,6,13.8774281903,3.3916791419
316,88,119.3707620752,65.0657728644
318,89,317.4765015739,63.8084483256
122,28,45.5245586371,8.9129608704
101,1,22.0498171408,-2.0456764135
322,91,41.9259456573,-4.7295791847
223,65,118.8060896532,3.0913942104
301,69,14.3412603299,-18.2062554184
122,25,64.8213247376,-0.1597990940
301,67,11.0342040901,-3.5984058079
302,72,18.6305569854,-0.3706791171
113,12,50.8339691928,-8.0072340286
201,35,15.7541494646,-2.2125663093
313,79,73.6474609002,-21.4028476247
302,73,13.0669449809,-35.7032828011
315,85,3.2602867563,2.4289043061
115,20,1.2162117743,3.8732074529
214,48,0.0000000000,12.0066567397
122,27,37.7221429304,1.3857932480
215,51,4.1855167546,2.2367372609
215,53,4.7397175567,5.0643501843
207,42,40.2556433040,-10.3036026978
202,39,10.9719929673,0.6107814676
222,59,42.0995022035,-0.1100383262
101,2,15.3756590318,0.6145755408
122,30,40.1401763529,3.8769753996
323,98,111.3530009847,0.0890259565
123,32,74.3553260235,-26.5537071664
221,57,348.9541195678,30.7581201046
218,56,355.8297093558,73.2005138494
215,49,1.8182448439,4.2116566296
101,3,22.6023544579,-22.5587051558
107,10,36.9615410804,-0.4372587797
216,55,114.7417752155,60.7945002303
223,66,169.2708857363,53.0811576483
222,61,59.1320422598,2.3574521614
302,74,51.0874387333,-11.0843846327
307,77,17.3190430785,-6.0924388649
315,87,114.0247943940,75.5379730500
122,26,49.8706738770,1.3421700002
123,31,74.3553277576,-11.1625850784
323,99,178.3051622294,-13.9230264359
322,95,40.9931887248,5.9340855917
101,4,26.3732953692,-11.0040472233
102,8,30.6011784064,-12.5934790232
307,75,47.5149508601,25.7645020121
202,40,49.6500569468,-13.6709964335
222,63,44.4979436606,0.2233463603
201,36,27.6469699853,-22.6915033353
222,58,42.1643473305,-4.4944195256
113,14,79.1184235723,3.3071820429
307,76,33.9353982988,-11.0416791931
222,60,47.6470158253,8.9517680139
201,34,18.6298375717,3.3751849072
202,38,11.8736863007,4.0215622565
301,68,13.5142080041,5.2721531800
201,37,45.5686732208,-32.1823873877
115,19,3.2019004806,4.0961668451
315,86,1.4857124355,4.5062106268
301,70,50.9937771904,-19.8820630149
322,92,39.8831138531,0.8257558970
115,16,2.7127825860,0.9123166864
315,84,8.0660713540,2.9693239518
313,80,26.2895898500,36.4762880833
222,62,44.5526514206,5.9797886942
223,64,118.8060883706,-47.2265294510
116,22,55.2561317228,-22.9407387615
115,17,0.9064120244,2.5148917820
315,83,6.4688054924,2.6763717959
314,81,0.0000000000,12.9119454918
215,54,109.4397526043,63.7756046571
118,23,477.1199243667,81.0798059661
213,47,39.8534552742,26.8934411208
213,46,71.2093970644,10.0254931409
107,11,33.4195130924,17.4512446199
202,41,15.9332520991,-30.5204149158
122,29,43.5998991158,-1.9117982463
113,13,28.2625542380,-18.4487674706
302,71,15.9614973242,-1.7501643831
102,5,18.1170573130,2.1013265085
215,52,2.0292875372,2.7381138882
--end of generation dispatch
