--contingency generator
conID,genID,busID,unitID,q(MW)
1,l_103,123,31,-27.8408344430
1,l_113,202,41,-24.2288673636
1,l_150,313,78,-1.9413446391
1,l_107,201,35,1.6533826933
1,l_98,122,26,2.0948772838
1,l_116,207,44,-10.5120822036
1,l_121,215,49,1.9819983863
1,l_106,201,34,0.1582078586
1,l_87,114,15,-36.5043117141
1,l_128,218,56,53.2232622058
1,l_95,118,23,84.4418235685
1,l_157,315,85,5.6475531297
1,l_166,322,94,6.6446657279
1,l_88,115,16,3.7237000646
1,l_143,302,71,-2.2089634422
1,l_118,213,46,8.6796644089
1,l_146,302,74,-34.0085150833
1,l_73,101,1,4.9246474151
1,l_97,122,25,1.9768332682
1,l_114,207,42,34.9090873413
1,l_117,213,45,-8.2930646735
1,l_151,313,79,4.1874232508
1,l_161,318,89,62.5047674266
1,l_76,101,4,-7.3738361974
1,l_81,107,9,22.6447851464
1,l_164,322,92,9.8270838844
1,l_77,102,5,1.9639099126
1,l_148,307,76,2.5106136390
1,l_115,207,43,14.2546445631
1,l_123,215,51,5.5302497844
1,l_82,107,10,-20.2625714541
1,l_90,115,18,4.8388387377
1,l_149,307,77,16.3649243745
1,l_171,323,99,-20.7768981316
1,l_142,301,70,-6.9075197157
1,l_110,202,38,-2.6883873840
1,l_96,121,24,109.2009830299
1,l_120,214,48,34.7129844074
1,l_104,123,32,-45.8206181286
1,l_153,314,81,0.5021285763
1,l_74,101,2,5.2373320056
1,l_137,223,65,-47.9144647977
1,l_140,301,68,-0.1122635678
1,l_162,321,90,36.8729387222
1,l_129,221,57,20.9192600844
1,l_130,222,58,0.5379203630
1,l_154,315,82,4.9727254310
1,l_136,223,64,-3.0779174514
1,l_93,115,21,65.9435402303
1,l_168,322,96,-1.4165561210
1,l_133,222,61,-5.9755029559
1,l_147,307,75,-1.5690643644
1,l_126,215,54,61.4070242512
1,l_132,222,60,3.7258485421
1,l_105,123,33,47.0916914654
1,l_89,115,17,3.6168267749
1,l_144,302,72,3.0136024671
1,l_92,115,20,1.5672003029
1,l_111,202,39,5.0658795538
1,l_101,122,29,6.8453219612
1,l_158,315,86,1.9585828272
1,l_160,316,88,62.0778730302
1,l_134,222,62,3.4591171128
1,l_135,222,63,6.2646464462
1,l_108,201,36,-39.6418540606
1,l_122,215,50,3.0153860600
1,l_125,215,53,3.9215911068
1,l_75,101,3,-8.6538890925
1,l_78,102,6,4.4195551530
1,l_102,122,30,-0.8124253422
1,l_165,322,93,5.3995813587
1,l_119,213,47,3.2720013373
1,l_99,122,27,-0.6270830747
1,l_127,216,55,72.1975823614
1,l_138,223,66,83.5302565490
1,l_124,215,52,2.9835953684
1,l_79,102,7,-12.9851024333
1,l_83,107,11,7.1258998829
1,l_85,113,13,25.7166992302
1,l_152,313,80,7.1655370956
1,l_84,113,12,-31.9836574174
1,l_170,323,98,6.0743261653
1,l_94,116,22,1.9111748298
1,l_167,322,95,1.4194538375
1,l_86,113,14,-16.8012641428
1,l_141,301,69,-30.3981211719
1,l_159,315,87,76.4710689020
1,l_169,323,97,-23.6803877936
1,l_163,322,91,-0.0995170563
1,l_112,202,40,-41.9591350196
1,l_156,315,84,3.2010187531
1,l_131,222,59,3.6187072603
1,l_80,102,8,-32.4713366693
1,l_155,315,83,3.4104914146
1,l_145,302,73,-31.1786754607
1,l_109,201,37,-6.6176162563
1,l_100,122,28,1.3909849101
1,l_139,301,67,3.6599729464
1,l_91,115,19,1.2113397456
2,l_103,123,31,-21.9592871590
2,l_113,202,41,-24.2334924101
2,l_150,313,78,-1.9652405784
2,l_107,201,35,1.6459829501
2,l_98,122,26,2.0925333044
2,l_116,207,44,-10.5214412566
2,l_121,215,49,1.9834164328
2,l_106,201,34,0.1495477480
2,l_87,114,15,-6.1688416546
2,l_128,218,56,53.2411224021
2,l_95,118,23,84.3327263127
2,l_157,315,85,5.6485381071
2,l_166,322,94,6.6451777543
2,l_88,115,16,3.7652335824
2,l_143,302,71,-2.2112483204
2,l_118,213,46,8.7235877249
2,l_146,302,74,-34.0107670142
2,l_73,101,1,4.9885197450
