--generation dispatch
bus id,unit id,pg(MW),qg(MVar)
207,42,64.5500836731,22.3745614599
301,69,15.5308495937,-26.4408725885
215,49,3.3306602981,3.7673576568
222,58,47.1391271230,-0.7699460656
307,77,5.8400991291,-25.2648877225
122,27,44.4290224367,-6.9902335911
101,2,11.7119802084,3.6630825849
307,76,40.1100276050,12.3659186969
315,86,8.1206957382,2.3507983131
116,22,54.2734061389,14.5229381194
123,32,13.4604209387,34.2676302674
316,88,51.8274305621,35.9963397234
221,57,506.3142352679,66.0268466374
318,89,298.2189732654,96.5588566730
115,19,6.7143736458,1.8612489417
122,26,60.2278363470,3.5448176988
322,93,59.7966468498,5.9394194305
213,45,46.1034035258,-6.7987794990
215,50,4.0014719204,4.6010439254
215,51,3.6159084032,5.1368703454
214,48,0.0000000000,34.5099389596
102,8,71.7144167957,-12.5015173958
301,70,53.5153792687,-24.5301933135
213,47,124.5807824290,-26.3205274064
201,35,12.1442163198,-1.8704446681
302,73,44.5277139520,-8.9115385765
201,34,19.8006868220,-2.9039125988
315,82,9.0253998954,2.8118551319
223,65,33.0210211476,-20.6078727843
202,39,16.0887007717,4.7471261509
321,90,411.2064801187,96.9948818878
113,13,65.1657553180,-24.5783792136
222,62,47.9828141246,6.9855006455
322,95,62.5658777822,6.0216557075
118,23,285.7919741829,72.5690404156
216,55,107.5900561414,34.7591500482
102,7,72.7740916809,-16.2905076088
113,14,10.3515181902,-23.9205494412
123,33,77.9455587151,-28.2430635922
322,91,52.3042184604,1.9597378327
215,54,14.2848545345,65.7126206067
115,16,5.3520650765,4.0681699833
113,12,73.5353270694,22.0068085724
322,92,38.4275797452,0.4282285794
115,18,1.5415332090,2.6014411752
307,75,29.0107782499,26.1702014409
315,83,4.8373113933,5.6459602553
102,6,15.6212601131,2.2844266560
223,64,96.6562955357,-54.7282694404
301,67,9.4689197371,0.1937307262
323,98,70.6848036092,-0.9274183413
201,37,11.4894999491,-38.0290728860
207,44,32.7993100963,-16.1113941560
302,71,18.4574058888,0.1070921444
107,9,46.3035084505,32.1004356909
115,20,1.9174396995,1.2758754216
313,78,95.6446317973,10.9414939347
201,36,13.7886940014,-4.6122557107
313,79,103.0236921678,-12.5143694733
222,60,37.7452580899,9.8658627900
315,87,75.3712391876,57.3951779743
101,3,58.6968816152,-29.8526224248
121,24,493.8154522890,108.0426061539
322,94,46.5734737949,4.4277301470
322,96,49.6795300255,3.2209457489
314,81,0.0000000000,35.9223709740
122,25,45.1980781879,-0.2945440500
114,15,0.0000000000,-43.9462694233
115,21,123.0211561636,31.6703458762
101,4,66.5795794543,-8.8000649764
222,59,55.7676009706,-1.0943010467
202,40,12.4225910318,-15.7724930627
213,46,92.2247466048,43.1167208493
215,53,7.6764531535,5.5546818189
313,80,18.8150950389,-17.7973246584
115,17,4.4512520723,1.4756427584
202,41,42.8355197840,-19.8870362491
218,56,313.1010701116,75.7275636034
323,99,85.4923132980,78.0166923943
122,30,49.7749120740,2.7996667160
107,11,26.7917784094,-34.5234682620
202,38,16.4784495419,1.9341748653
122,28,40.4124172868,-3.2429674477
302,72,20.1990506274,-5.4690699666
123,31,36.0010263242,-14.9025548638
107,10,30.0826041331,23.8508912889
102,5,18.3013076967,5.1912826929
101,1,10.9069633010,2.7494074456
301,68,12.6310055134,0.6386218558
302,74,22.3554089276,-31.1150576068
222,63,53.2056403940,3.2271365488
315,84,5.0707796459,5.2293001710
207,43,22.9099685012,-11.0559487136
323,97,70.6803881029,-46.5823275985
315,85,3.1239618738,2.7485332677
222,61,48.6557340774,0.8156705541
223,66,201.5245154169,-26.2217760931
122,29,42.2251085376,-1.8546828112
215,52,0.4663025823,3.2779415162
--end of generation dispatch
